# Справочник критических участков, версия 1 (заготовка)
# Источник координат и уровня доказательности: перечень кураторских оценок дозовой
# чувствительности участков ClinGen, файл ClinGen_region_curation_list_GRCh38.tsv,
# дата перечня 28.04.2026, сборка GRCh38 (GCF_000001405.36).
# Отобраны участки с уровнем 2 (некоторые доказательства) и 3 (достаточные
# доказательства) по направлению утраты либо прироста; направление в отдельном столбце.
# Названия болезней и международные синонимы получены по идентификаторам MONDO
# через словарь онтологий; русские обозначения — затравка, требует подтверждения
# врачами-генетиками заказчика (столбец подтверждено_врачом).
isca_id,название_источника,цитобенд,хромосома,начало,конец,направление,уровень_доказательности,описание_уровня,идентификатор_болезни,дата_оценки,название_болезни,синонимы_международные,русское_обозначение_затравка,подтверждено_врачом
ISCA-37501,"17q23.1q23.2 recurrent region (includes TBX2, TBX4)",17q23.1-q23.2,17,60035641,62198448,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0013238,2025-11-14,chromosome 17q23.1-q23.2 deletion syndrome,17q23.1q23.2 microdeletion syndrome; Del(17)(q23.1q23.2); chromosome 17q23.1-q23.2 deletion syndrome,,нет
ISCA-46303,SOX9 upstream enhancer region,17q24.3,17,69896855,71796293,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0007134,2021-06-07,Cooks syndrome,Cooks syndrome; ODP; anonychia and absence/hypoplasia of distal phalanges,,нет
ISCA-46287,2p24.3 MYCN-DDX1 duplication region,2p24.3,2,15568553,16045215,gain,2,Some evidence for dosage pathogenicity,MONDO:0005072,2017-08-07,neuroblastoma,"NB; neural Crest tumor, malignant; neuroblastoma",,нет
ISCA-37408,2p15p16.1 region (includes BCL11A),2p15-p16.1,2,58912065,62261736,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012916,2024-09-10,chromosome 2p16.1-p15 deletion syndrome,2p15-p16.1 microdeletion syndrome; 2p15p16.1 microdeletion syndrome; Del(2)(p15p16.1),,нет
ISCA-37495,"2q11.2 recurrent region (includes ARID5A, TMEM127)",2q11.2,2,96073264,97005692,loss,3,Sufficient evidence for dosage pathogenicity,,2022-02-21,,,,нет
ISCA-37496,2q13 recurrent region (distal) (includes BCL2L11),2q13,2,110634616,112347165,loss,2,Some evidence for dosage pathogenicity,,2025-12-09,,,,нет
ISCA-46757,21q21.3 region (includes APP),21q21.3,21,25734570,26573286,gain,3,Sufficient evidence for dosage pathogenicity,,2025-10-27,,,,нет
ISCA-37393,22q11.21 recurrent (CES) region (includes CECR2),22q11.1-q11.21,22,16912063,18109094,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0007276,2025-12-08,cat-eye syndrome,CAT eye syndrome; CES; Cat Eye Syndrome,,нет
ISCA-37446,"22q11.2 recurrent (DGS) region (proximal, A-B, A-C, or A-D) (includes TBX1)",22q11.21,22,18924718,21111383,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0012020,2025-07-19,chromosome 22q11.2 microduplication syndrome,22q11 duplication syndrome; 22q11.2 duplication; 22q11.2 duplication syndrome,синдром Ди Джорджи (велокардиофациальный синдром),нет
ISCA-37446,"22q11.2 recurrent (DGS) region (proximal, A-B, A-C, or A-D) (includes TBX1)",22q11.21,22,18924718,21111383,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0008564,2025-07-19,DiGeorge syndrome,22q deletion syndrome(s); 22q11.2 deletion syndrome; DGS,синдром Ди Джорджи (велокардиофациальный синдром),нет
ISCA-37516,"22q11.2 recurrent region (central, B-D or C-D) (includes CRKL)",22q11.21,22,20377696,21111383,loss,2,Some evidence for dosage pathogenicity,,2026-03-11,,,,нет
ISCA-37397,"22q11.2 recurrent region (distal type I, D-E or D-F)",22q11.21-q11.22,22,21562828,22620608,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012740,2026-03-16,"chromosome 22q11.2 deletion syndrome, distal","chromosome 22q11.2 deletion syndrome, distal; distal 22q11.2 microdeletion syndrome; distal del(22)(q11.2)",,нет
ISCA-46294,"22q11.2 recurrent region (distal type III, D-G, D-H, E-H, F-H, or F-G) (includes SMARCB1)",22q11.23,22,23489015,24236853,loss,3,Sufficient evidence for dosage pathogenicity,,2025-12-08,,,,нет
ISCA-46553,3q24 Region (includes ZIC1),3q24,3,136684193,148623326,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0000508,2021-07-19,syndromic intellectual disability,syndrome associated with intellectual disability; syndromic intellectual disability,,нет
ISCA-37443,3q29 recurrent region (includes DLG1),3q29,3,196029183,197617791,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0012269,2024-02-18,chromosome 3q29 microdeletion syndrome,3q subtelomere deletion syndrome; 3q29 deletion; 3q29 deletion syndrome,,нет
ISCA-37429,4p16.3 terminal (Wolf-Hirschhorn syndrome) region,4p16.3,4,337779,2009235,gain,2,Some evidence for dosage pathogenicity,,2016-08-11,,,синдром Вольфа-Хиршхорна,нет
ISCA-37429,4p16.3 terminal (Wolf-Hirschhorn syndrome) region,4p16.3,4,337779,2009235,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0008684,2016-08-11,Wolf-Hirschhorn syndrome,4p deletion syndrome; 4p syndrome; 4p- syndrome,синдром Вольфа-Хиршхорна,нет
ISCA-37390,5p15 terminal (Cri du chat syndrome) region,5p15.33-p15.2,5,37695,11347150,gain,2,Some evidence for dosage pathogenicity,,2016-06-21,,,синдром кошачьего крика,нет
ISCA-37390,5p15 terminal (Cri du chat syndrome) region,5p15.33-p15.2,5,37695,11347150,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0007404,2016-06-21,Cri-du-chat syndrome,5p deletion syndrome; 5p minus syndrome; 5p partial monosomy syndrome,синдром кошачьего крика,нет
ISCA-37425,5q35 recurrent (Sotos syndrome) region (includes NSD1),5q35.2-q35.3,5,176301976,177620792,gain,3,Sufficient evidence for dosage pathogenicity,,2025-04-08,,,,нет
ISCA-37425,5q35 recurrent (Sotos syndrome) region (includes NSD1),5q35.2-q35.3,5,176301976,177620792,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0019349,2025-04-08,Sotos syndrome,NSD1 Sotos syndrome; SOTOS1; Sotos syndrome,,нет
ISCA-37442,6q24 region (includes PLAGL1),6q24,6,143922155,144095424,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0011073,2016-05-24,"diabetes mellitus, transient neonatal, 1","diabetes mellitus, transient neonatal 1; diabetes mellitus, transient neonatal, 1; diabetes mellitus, transient neonatal, type 1",,нет
ISCA-46742,7p22.1 region (includes ACTB),7p22.1,7,5497217,5760091,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0000508,2022-02-08,syndromic intellectual disability,syndrome associated with intellectual disability; syndromic intellectual disability,,нет
ISCA-37392,7q11.23 recurrent (Williams-Beuren syndrome) region (proximal) (includes ELN),7q11.23,7,73330452,74728173,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0012342,2026-02-03,7q11.23 microduplication syndrome,7q11.23 duplication syndrome; dup(7)(q11.23); trisomy 7q11.23,синдром Вильямса-Бойрена,нет
ISCA-37392,7q11.23 recurrent (Williams-Beuren syndrome) region (proximal) (includes ELN),7q11.23,7,73330452,74728173,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0008678,2026-02-03,Williams syndrome,WBS; WMS; Williams syndrome,синдром Вильямса-Бойрена,нет
ISCA-46291,"7q11.23 recurrent distal region (includes HIP1, YWHAG)",7q11.23,7,75528718,76433859,loss,2,Some evidence for dosage pathogenicity,,2023-04-20,,,,нет
ISCA-37467,7q36.3 ZRS (SHH cis-regulatory) duplication region (within LMBR1 intron 5),7q36.3,7,156791102,156791874,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0008270,2018-02-14,polydactyly of a triphalangeal thumb,"PPD2; polydactyly, preaxial II; polydactyly, preaxial type 2",,нет
ISCA-37423,8p23.1 recurrent region (includes GATA4),8p23.1,8,8242542,11908820,gain,2,Some evidence for dosage pathogenicity,,2022-06-10,,,,нет
ISCA-37423,8p23.1 recurrent region (includes GATA4),8p23.1,8,8242542,11908820,loss,3,Sufficient evidence for dosage pathogenicity,,2022-06-10,,,,нет
ISCA-37417,Xp22.31 recurrent region (includes STS),Xp22.31,X,6537771,8156913,loss,3,Sufficient evidence for dosage pathogenicity,MONDO:0010622,2021-07-01,recessive X-linked ichthyosis,"Ichthyosis, X Linked; RXLI; SSDD",,нет
ISCA-46302,Xp21.2 region (includes NR0B1),Xp21.2,X,30176883,30336883,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0010226,2020-07-22,"46,XY sex reversal 2","46,XY Sex reversal type 2; 46,XY sex reversal 2; SRXY2",,нет
ISCA-37468,Xp11.23 region (includes MAOA and MAOB),Xp11.23,X,43654906,43882474,loss,3,Sufficient evidence for dosage pathogenicity,,2017-10-11,,,,нет
ISCA-46290,Xp11.22p11.23 recurrent region (includes SHROOM4),Xp11.22-p11.23,X,48447780,52444264,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0010428,2017-12-14,chromosome Xp11.23-p11.22 duplication syndrome,"Xp11.22-p11.23 Microduplication; chromosome Xp11.23-p11.22 duplication syndrome; chromosome xp11.23-p11.22 duplication syndrome, X-linked dominant",,нет
ISCA-46299,Xp11.22 region (includes HUWE1),Xp11.22,X,53334251,53766556,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0020119,2018-11-19,X-linked syndromic intellectual disability,"X-linked syndromic intellectual disability; intellectual disability, X-linked syndromic; mental retardation, X-linked syndromic",,нет
ISCA-46743,Xq25 region (includes STAG2),Xq25,X,123900469,124102669,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0100038,2022-11-30,complex neurodevelopmental disorder,complex neurodevelopmental disorder,,нет
ISCA-46743,Xq25 region (includes STAG2),Xq25,X,123900469,124102669,loss,3,Sufficient evidence for dosage pathogenicity,,2022-11-30,,,,нет
ISCA-46304,Xq28 region (includes MECP2),Xq28,X,154008529,154110279,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0010283,2021-02-22,syndromic X-linked intellectual disability Lubs type,Lubs X-linked intellectual disability syndrome; Lubs X-linked intellectual disability syndrome (formerly); Lubs X-linked mental retardation syndrome,,нет
ISCA-37439,Xq28 recurrent region (includes GDI1),Xq28,X,154396223,154555683,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0010436,2016-05-26,chromosome Xq28 duplication syndrome,chromosome Xq28 duplication syndrome,,нет
ISCA-37494,Xq28 recurrent region (int22h1/int22h2-flanked) (includes RAB39B),Xq28,X,154890328,155335092,gain,3,Sufficient evidence for dosage pathogenicity,MONDO:0010436,2018-08-30,chromosome Xq28 duplication syndrome,chromosome Xq28 duplication syndrome,"участок Xq28, ограниченный повторами int22h1 и int22h2",нет
ISCA-37494,Xq28 recurrent region (int22h1/int22h2-flanked) (includes RAB39B),Xq28,X,154890328,155335092,loss,3,Sufficient evidence for dosage pathogenicity,,2018-08-30,,,"участок Xq28, ограниченный повторами int22h1 и int22h2",нет
